supplier_id,supplier_name,supplier_location,batch_id,ingredient,batch_status,batch_manufacture_date,contamination_date,kitchen_id,kitchen_name,kitchen_location,delivery_date,delivery_qty_kg,dish_id,dish_name,dish_price,dish_blocked,kitchen_cooking_timestamp,usage_qty_kg,order_id,order_timestamp,customer_id,customer_name,customer_phone,customer_email
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-001,Spice Hub Kitchen,"Cyber Hub, Gurugram",2025-09-06T09:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1001,2025-09-09T12:30:00+05:30,CUS-001,Aarav Sharma,+91-98110-11201,aarav.sharma@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-001,Spice Hub Kitchen,"Cyber Hub, Gurugram",2025-09-06T09:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1003,2025-09-10T12:15:00+05:30,CUS-003,Rohan Mehta,+91-98110-11203,rohan.mehta@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-001,Spice Hub Kitchen,"Cyber Hub, Gurugram",2025-09-06T09:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1007,2025-09-10T16:05:00+05:30,CUS-007,Advait Nair,+91-98110-11207,advait.nair@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-001,Spice Hub Kitchen,"Cyber Hub, Gurugram",2025-09-06T09:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1011,2025-09-11T09:45:00+05:30,CUS-011,Arjun Khanna,+91-98110-11211,arjun.khanna@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-001,Spice Hub Kitchen,"Cyber Hub, Gurugram",2025-09-06T09:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1016,2025-09-11T19:30:00+05:30,CUS-002,Diya Patel,+91-98110-11202,diya.patel@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-001,Spice Hub Kitchen,"Cyber Hub, Gurugram",2025-09-06T09:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1018,2025-09-12T12:30:00+05:30,CUS-006,Ishita Verma,+91-98110-11206,ishita.verma@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-001,Spice Hub Kitchen,"Cyber Hub, Gurugram",2025-09-06T09:00:00+05:30,15.0,DSH-005,Butter Chicken,420.0,False,2025-09-10T13:00:00+05:30,4.0,ORD-1006,2025-09-10T13:40:00+05:30,CUS-006,Ishita Verma,+91-98110-11206,ishita.verma@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-001,Spice Hub Kitchen,"Cyber Hub, Gurugram",2025-09-06T09:00:00+05:30,15.0,DSH-005,Butter Chicken,420.0,False,2025-09-10T13:00:00+05:30,4.0,ORD-1017,2025-09-11T20:00:00+05:30,CUS-004,Ananya Iyer,+91-98110-11204,ananya.iyer@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-001,Spice Hub Kitchen,"Cyber Hub, Gurugram",2025-09-06T09:00:00+05:30,15.0,DSH-006,Dal Makhani,240.0,True,2025-09-10T12:50:00+05:30,3.0,ORD-1002,2025-09-09T19:45:00+05:30,CUS-002,Diya Patel,+91-98110-11202,diya.patel@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-001,Spice Hub Kitchen,"Cyber Hub, Gurugram",2025-09-06T09:00:00+05:30,15.0,DSH-006,Dal Makhani,240.0,True,2025-09-10T12:50:00+05:30,3.0,ORD-1013,2025-09-11T10:30:00+05:30,CUS-001,Aarav Sharma,+91-98110-11201,aarav.sharma@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-002,Delhi Biryani Co.,"Connaught Place, Delhi",2025-09-06T10:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1001,2025-09-09T12:30:00+05:30,CUS-001,Aarav Sharma,+91-98110-11201,aarav.sharma@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-002,Delhi Biryani Co.,"Connaught Place, Delhi",2025-09-06T10:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1003,2025-09-10T12:15:00+05:30,CUS-003,Rohan Mehta,+91-98110-11203,rohan.mehta@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-002,Delhi Biryani Co.,"Connaught Place, Delhi",2025-09-06T10:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1007,2025-09-10T16:05:00+05:30,CUS-007,Advait Nair,+91-98110-11207,advait.nair@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-002,Delhi Biryani Co.,"Connaught Place, Delhi",2025-09-06T10:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1011,2025-09-11T09:45:00+05:30,CUS-011,Arjun Khanna,+91-98110-11211,arjun.khanna@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-002,Delhi Biryani Co.,"Connaught Place, Delhi",2025-09-06T10:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1016,2025-09-11T19:30:00+05:30,CUS-002,Diya Patel,+91-98110-11202,diya.patel@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-002,Delhi Biryani Co.,"Connaught Place, Delhi",2025-09-06T10:00:00+05:30,15.0,DSH-001,Paneer Butter Masala,320.0,True,2025-09-10T12:00:00+05:30,3.0,ORD-1018,2025-09-12T12:30:00+05:30,CUS-006,Ishita Verma,+91-98110-11206,ishita.verma@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-002,Delhi Biryani Co.,"Connaught Place, Delhi",2025-09-06T10:00:00+05:30,15.0,DSH-005,Butter Chicken,420.0,False,2025-09-10T13:00:00+05:30,4.0,ORD-1006,2025-09-10T13:40:00+05:30,CUS-006,Ishita Verma,+91-98110-11206,ishita.verma@example.com
SUP-002,Gopal Dairy,"Sector 18, Noida",BATCH-BUTTER-001,Butter,GREEN,2025-09-05T09:00:00+05:30,,CK-002,Delhi Biryani Co.,"Connaught Place, Delhi",2025-09-06T10:00:00+05:30,15.0,DSH-005,Butter Chicken,420.0,False,2025-09-10T13:00:00+05:30,4.0,ORD-1017,2025-09-11T20:00:00+05:30,CUS-004,Ananya Iyer,+91-98110-11204,ananya.iyer@example.com
